Name,Cmpg,Eng,Inv_eng
Mitsubishi Eclipse Spyder 2.4L,20,2.4,0.416666667
Mitsubishi Eclipse Spyder 3.8L,16,3.8,0.263157895
Mitsubishi Galant 2.4L,21,2.4,0.416666667
Mitsubishi Lancer 2.4L,23,2.4,0.416666667
Mitsubishi Lancer Turbo 2L,17,2,0.5
Mitsubishi Lancer 2L,25,2,0.5
Mitsubishi Lancer Evolution 2L,17,2,0.5
Mitsubishi Lancer Sportback Turbo 2L,17,2,0.5
Mitsubishi Lancer Sportback 2L,25,2,0.5
Nissan 370Z 3.7L,19,3.7,0.27027027
Nissan 370Z Roadster 3.7L,18,3.7,0.27027027
Nissan Altima 2.5L,23,2.5,0.4
Nissan Altima 3.5L,20,3.5,0.285714286
Nissan Altima Coupe 2.5L,23,2.5,0.4
Nissan Altima Coupe 3.5L,20,3.5,0.285714286
Nissan Cube 1.8L,27,1.8,0.555555556
Nissan GT-R 3.8L,15,3.8,0.263157895
Nissan Juke 1.6L,27,1.6,0.625
Nissan Juke Awd 1.6L,25,1.6,0.625
Nissan Maxima 3.5L,19,3.5,0.285714286
Nissan Sentra 2.5L,24,2.5,0.4
Nissan Sentra 2L,27,2,0.5
Nissan Versa 1.6L,25,1.6,0.625
Nissan Versa 1.8L,24,1.8,0.555555556
Porsche 911 Carrera 3.6L,19,3.6,0.277777778
Porsche 911 Carrera 4 3.6L,18,3.6,0.277777778
Porsche 911 Carrera 4 Cabriolet 3.6L,18,3.6,0.277777778
Porsche 911 Carrera 4 Targa 3.6L,18,3.6,0.277777778
Porsche 911 Carrera 4S 3.8L,18,3.8,0.263157895
Porsche 911 Carrera 4S Cabriolet 3.8L,18,3.8,0.263157895
Porsche 911 Carrera 4S Targa 3.8L,18,3.8,0.263157895
Porsche 911 Carrera Cabriolet 3.6L,19,3.6,0.277777778
Porsche 911 Carrera S 3.8L,19,3.8,0.263157895
Porsche 911 Carrera S Cabriolet 3.8L,19,3.8,0.263157895
Porsche 911 GTS 3.8L,19,3.8,0.263157895
Porsche 911 GTS Cabriolet 3.8L,19,3.8,0.263157895
Porsche 911 Turbo Cabriolet 3.8L,16,3.8,0.263157895
Porsche 911 Turbo Coupe 3.8L,17,3.8,0.263157895
Porsche 911 Turbo S Cabriolet 3.8L,16,3.8,0.263157895
Porsche 911 Turbo S Coupe 3.8L,17,3.8,0.263157895
Porsche Panamera 3.6L,18,3.6,0.277777778
Porsche Panamera 4 3.6L,18,3.6,0.277777778
Porsche Panamera 4S 4.8L,16,4.8,0.208333333
Porsche Panamera S 4.8L,16,4.8,0.208333333
Porsche Panamera Turbo 4.8L,15,4.8,0.208333333
Rolls-Royce Ghost 6.6L,13,6.6,0.151515152
Rolls-Royce Phantom 6.7L,11,6.7,0.149253731
Rolls-Royce Phantom Coupe 6.7L,11,6.7,0.149253731
Rolls-Royce Phantom Drophead Coupe 6.7L,11,6.7,0.149253731
Rolls-Royce Phantom EWB 6.7L,11,6.7,0.149253731
Saab 9-3 Sedan Awd 2L,17,2,0.5
Saab 9-3 Sport Sedan 2L,19,2,0.5
Scion tC 2.5L,23,2.5,0.4
Scion xB 2.4L,22,2.4,0.416666667
Scion xD 1.8L,27,1.8,0.555555556
Subaru Forester Awd 2.5L,21,2.5,0.4
Subaru Impreza Awd 2.5L,20,2.5,0.4
Subaru Impreza Outback Sport Awd 2.5L,20,2.5,0.4
Subaru Legacy Awd 2.5L,23,2.5,0.4
Subaru Legacy Awd 3.6L,18,3.6,0.277777778
Subaru Outback Awd Wagon 2.5L,22,2.5,0.4
Subaru Outback Awd Wagon 3.6L,18,3.6,0.277777778
Subaru Tribeca Awd 3.6L,16,3.6,0.277777778
Suzuki Kizashi 2.4L,23,2.4,0.416666667
Suzuki Kizashi Awd 2.4L,22,2.4,0.416666667
Suzuki Kizashi S 2.4L,23,2.4,0.416666667
Suzuki Kizashi S Awd 2.4L,23,2.4,0.416666667
Suzuki Swift + 1.6L,25,1.6,0.625
Suzuki SX4 2L,23,2,0.5
Suzuki SX4 Awd 2L,23,2,0.5
Suzuki SX4 Sedan 2L,25,2,0.5
Suzuki SX4 Sport Anniversary Edition 2L,23,2,0.5
Toyota Avalon 3.5L,20,3.5,0.285714286
Toyota Camry 2.5L,22,2.5,0.4
Toyota Camry 3.5L,20,3.5,0.285714286
Toyota Corolla 1.8L,26,1.8,0.555555556
Toyota Corolla 2.4L,22,2.4,0.416666667
Toyota Corolla Matrix 1.8L,25,1.8,0.555555556
Toyota Corolla Matrix 2.4L,21,2.4,0.416666667
Toyota Yaris 1.5L,29,1.5,0.666666667
Volkswagen CC 2L,22,2,0.5
Volkswagen CC 4motion 3.6L,17,3.6,0.277777778
Volkswagen Eos 2L,22,2,0.5
Volkswagen Golf 2.5L,24,2.5,0.4
Volkswagen GTI 2L,24,2,0.5
Volkswagen Jetta 2.5L,24,2.5,0.4
Volkswagen Jetta 2L,23,2,0.5
Volkswagen Jetta Sportwagen 2.5L,24,2.5,0.4
Volvo C30 Fwd 2.5L,21,2.5,0.4
Volvo C70 Fwd 2.5L,19,2.5,0.4
Volvo S40 Fwd 2.5L,21,2.5,0.4
Volvo S60 Awd 3L,18,3,0.333333333
Volvo S80 Awd 3L,18,3,0.333333333
Volvo S80 Fwd 3.2L,19,3.2,0.3125
Volvo V50 Fwd 2.5L,21,2.5,0.4
Volvo XC60 Awd 3.2L,18,3.2,0.3125
Volvo XC60 Awd 3L,17,3,0.333333333
Volvo XC60 Fwd 3.2L,18,3.2,0.3125
Volvo XC70 Awd 3.2L,18,3.2,0.3125
Volvo XC70 Awd 3L,17,3,0.333333333
Volvo XC70 Fwd 3.2L,18,3.2,0.3125
